id,session_id,timestamp,hex_id,data
17432,23,1756868235577,0x201,00 00 00 00
17433,23,1756868235577,0x202,00 00
17434,23,1756868235577,0x220,00
17435,23,1756868235577,0x3f2,00
17436,23,1756868235611,0x200,03 20 00 00 00 00
17437,23,1756868235611,0x201,00 00 00 00
17438,23,1756868235611,0x202,00 00
17439,23,1756868235611,0x220,00
17440,23,1756868235611,0x3f2,00
17441,23,1756868235645,0x200,03 25 00 00 00 00
17442,23,1756868235645,0x201,00 00 00 00
17443,23,1756868235645,0x202,00 00
17444,23,1756868235645,0x220,00
17445,23,1756868235645,0x3f2,00
17446,23,1756868235679,0x200,03 2F 00 00 00 00
17447,23,1756868235679,0x201,00 00 00 00
17448,23,1756868235679,0x202,00 00
17449,23,1756868235679,0x220,00
17450,23,1756868235679,0x3f2,00
17451,23,1756868235713,0x200,03 3D 00 00 00 00
17452,23,1756868235713,0x201,00 00 00 00
17453,23,1756868235713,0x202,00 00
17454,23,1756868235713,0x220,00
17455,23,1756868235713,0x3f2,00
17456,23,1756868235746,0x200,03 4D 00 00 00 00
17457,23,1756868235746,0x201,00 00 00 00
17458,23,1756868235746,0x202,00 00
17459,23,1756868235746,0x220,00
17460,23,1756868235746,0x3f2,00
17461,23,1756868235781,0x200,03 5E 00 00 00 00
17462,23,1756868235781,0x201,00 00 00 00
17463,23,1756868235781,0x202,00 00
17464,23,1756868235781,0x220,00
17465,23,1756868235781,0x3f2,00
17466,23,1756868235814,0x200,03 6D 00 00 00 00
17467,23,1756868235814,0x201,00 00 00 00
17468,23,1756868235814,0x202,00 00
17469,23,1756868235814,0x220,00
17470,23,1756868235814,0x3f2,00
17471,23,1756868235848,0x200,03 7A 00 00 00 00
17472,23,1756868235848,0x201,00 00 00 00
17473,23,1756868235848,0x202,00 00
17474,23,1756868235848,0x220,00
17475,23,1756868235848,0x3f2,00
17476,23,1756868235879,0x200,03 81 00 00 00 00
17477,23,1756868235879,0x201,00 00 00 00
17478,23,1756868235879,0x202,00 00
17479,23,1756868235879,0x220,00
17480,23,1756868235879,0x3f2,00
17481,23,1756868235914,0x200,03 84 00 00 00 00
17482,23,1756868235914,0x201,00 00 00 00
17483,23,1756868235914,0x202,00 00
17484,23,1756868235914,0x220,00
17485,23,1756868235914,0x3f2,00
17486,23,1756868235947,0x200,03 81 00 00 00 00
17487,23,1756868235947,0x201,00 00 00 00
17488,23,1756868235947,0x202,00 00
17489,23,1756868235947,0x220,00
17490,23,1756868235947,0x3f2,00
17491,23,1756868235982,0x200,03 79 00 00 00 00
17492,23,1756868235982,0x201,00 00 00 00
17493,23,1756868235982,0x202,00 00
17494,23,1756868235982,0x220,00
17495,23,1756868235982,0x3f2,00
17496,23,1756868236017,0x200,03 6B 00 00 00 00
17497,23,1756868236017,0x201,00 00 00 00
17498,23,1756868236017,0x202,00 00
17499,23,1756868236017,0x220,00
17500,23,1756868236017,0x3f2,00
17501,23,1756868236052,0x200,03 5B 00 00 00 00
17502,23,1756868236052,0x201,00 00 00 00
17503,23,1756868236052,0x202,00 00
17504,23,1756868236052,0x220,00
17505,23,1756868236052,0x3f2,00
17506,23,1756868236083,0x200,03 4C 00 00 00 00
17507,23,1756868236083,0x201,00 00 00 00
17508,23,1756868236083,0x202,00 00
17509,23,1756868236083,0x220,00
17510,23,1756868236083,0x3f2,00
17511,23,1756868236119,0x200,03 3A 00 00 00 00
17512,23,1756868236119,0x201,00 00 00 00
17513,23,1756868236119,0x202,00 00
17514,23,1756868236119,0x220,00
17515,23,1756868236119,0x3f2,00
17516,23,1756868236153,0x200,03 2D 00 00 00 00
17517,23,1756868236153,0x201,00 00 00 00
17518,23,1756868236153,0x202,00 00
17519,23,1756868236153,0x220,00
17520,23,1756868236153,0x3f2,00
17521,23,1756868236188,0x200,03 24 00 00 00 00
17522,23,1756868236188,0x201,00 00 00 00
17523,23,1756868236188,0x202,00 00
17524,23,1756868236188,0x220,00
17525,23,1756868236188,0x3f2,00
17526,23,1756868236221,0x200,03 20 00 00 00 00
17527,23,1756868236221,0x201,00 00 00 00
17528,23,1756868236221,0x202,00 00
17529,23,1756868236221,0x220,00
17530,23,1756868236221,0x3f2,00
17531,23,1756868236255,0x200,03 22 00 00 00 00
17532,23,1756868236255,0x201,00 00 00 00
17533,23,1756868236255,0x202,00 00
17534,23,1756868236255,0x220,00
17535,23,1756868236255,0x3f2,00
17536,23,1756868236290,0x200,03 2A 00 00 00 00
17537,23,1756868236290,0x201,00 00 00 00
17538,23,1756868236290,0x202,00 00
17539,23,1756868236290,0x220,00
17540,23,1756868236290,0x3f2,00
17541,23,1756868236324,0x200,03 35 00 00 00 00
17542,23,1756868236324,0x201,00 00 00 00
17543,23,1756868236324,0x202,00 00
17544,23,1756868236324,0x220,00
17545,23,1756868236324,0x3f2,00
17546,23,1756868236355,0x200,00 00 00 00 00 00
17547,23,1756868236355,0x201,00 00 00 00
17548,23,1756868236355,0x202,00 00
17549,23,1756868236355,0x220,00
17550,23,1756868236355,0x3f2,00
17551,23,1756868236388,0x200,03 53 00 00 00 00
17552,23,1756868236388,0x201,00 00 00 00
17553,23,1756868236388,0x202,00 00
17554,23,1756868236388,0x220,01
17555,23,1756868236388,0x3f2,00
17556,23,1756868236422,0x200,03 AF 00 0F 00 00
17557,23,1756868236422,0x201,00 00 00 00
17558,23,1756868236422,0x202,00 00
17559,23,1756868236422,0x220,01
17560,23,1756868236422,0x3f2,00
17561,23,1756868236460,0x200,04 21 00 1E 00 00
17562,23,1756868236460,0x201,00 00 00 00
17563,23,1756868236460,0x202,00 00
17564,23,1756868236460,0x220,01
17565,23,1756868236460,0x3f2,00
17566,23,1756868236493,0x200,04 99 00 2D 00 00
17567,23,1756868236493,0x201,00 00 00 00
17568,23,1756868236493,0x202,00 00
17569,23,1756868236493,0x220,01
17570,23,1756868236493,0x3f2,00
17571,23,1756868236527,0x200,05 14 00 3C 00 00
17572,23,1756868236527,0x201,00 00 00 00
17573,23,1756868236527,0x202,00 00
17574,23,1756868236527,0x220,01
17575,23,1756868236527,0x3f2,00
17576,23,1756868236561,0x200,05 8D 00 4B 00 00
17577,23,1756868236561,0x201,00 00 00 00
17578,23,1756868236561,0x202,00 00
17579,23,1756868236561,0x220,01
17580,23,1756868236561,0x3f2,00
17581,23,1756868236595,0x200,06 03 00 5A 00 00
17582,23,1756868236595,0x201,00 00 00 00
17583,23,1756868236595,0x202,00 00
17584,23,1756868236595,0x220,01
17585,23,1756868236595,0x3f2,00
17586,23,1756868236630,0x200,06 75 00 68 00 00
17587,23,1756868236630,0x201,00 00 00 00
17588,23,1756868236630,0x202,00 00
17589,23,1756868236630,0x220,01
17590,23,1756868236630,0x3f2,00
17591,23,1756868236664,0x200,06 E2 00 77 00 00
17592,23,1756868236664,0x201,00 00 00 00
17593,23,1756868236664,0x202,00 00
17594,23,1756868236664,0x220,01
17595,23,1756868236664,0x3f2,00
17596,23,1756868236698,0x200,07 4A 00 86 00 00
17597,23,1756868236698,0x201,00 00 00 00
17598,23,1756868236698,0x202,00 00
